rank	score	type	token	current_count	history_count	replay_ruling
1	104	JAY_SCHEMA_ATTESTATION_WALLET	0x992d94aA31dcD8fDb7d8E6885370ef8202AED399	3	1	REPLAY_CANDIDATE_NOT_CHAIN_PROOF
2	103	JAY_SCHEMA_ATTESTATION_WALLET	0x1dB2C056c7DeCD9f9fC574692b05F62aE34Fb8b5	2	1	REPLAY_CANDIDATE_NOT_CHAIN_PROOF
3	97	JAY_EAS_RECIPIENT	0xA380552a27b0a5a2874Ea7AA52CAC09f542002E8	2	0	REPLAY_CANDIDATE_NOT_CHAIN_PROOF
4	81	EAS_BASE_CONTRACT	0x4200000000000000000000000000000000000021	1	0	REPLAY_CANDIDATE_NOT_CHAIN_PROOF
5	81	UID_OR_TX_CANDIDATE	0x5aa1dd96735e02ba2d7a9cc41b4a4ed4cb0c11ed5366303eeb00262a4a9773ed	15	1	REPLAY_CANDIDATE_NOT_CHAIN_PROOF
6	78	UID_OR_TX_CANDIDATE	0x5acb442d42213fa5d79049a91b4e6496999e2090840c0400c6c90f3a66d66e68	8	0	REPLAY_CANDIDATE_NOT_CHAIN_PROOF
7	76	UID_OR_TX_CANDIDATE	0x67A8C483EFA19950D4D8917CC125D201F41DDDECF76779CB9EDEA7AFFC0B6714	6	0	REPLAY_CANDIDATE_NOT_CHAIN_PROOF
8	76	UID_OR_TX_CANDIDATE	0xb158554ca0ec989c595a173132c3d457e4f5e8c01a5060a1a3015553fd05ae3f	6	0	REPLAY_CANDIDATE_NOT_CHAIN_PROOF
9	75	UID_OR_TX_CANDIDATE	0x879d4e37dcd2fe24f977b78f7e8628902af9a54896cb731f5ee7c9e4f5b78c97	5	0	REPLAY_CANDIDATE_NOT_CHAIN_PROOF
10	74	UID_OR_TX_CANDIDATE	0x95987d56f2c512503805758c7e201548164ca9c297faf5712edae5500810fd89	4	0	REPLAY_CANDIDATE_NOT_CHAIN_PROOF
11	74	UID_OR_TX_CANDIDATE	0xfe6ed74e7c480f649974debe9bbfd58ab7c16d9b2fc850191eaddb497db81729	4	0	REPLAY_CANDIDATE_NOT_CHAIN_PROOF
12	73	UID_OR_TX_CANDIDATE	0x309DA30D6A76AFA25C775F1A87A857CE204F506A48F28189C816E635D1D6D203	3	0	REPLAY_CANDIDATE_NOT_CHAIN_PROOF
13	72	UID_OR_TX_CANDIDATE	0x46a650f89159596c6a08ffbc567680d4874fb11081f6a4ca424e703f391c673c	2	0	REPLAY_CANDIDATE_NOT_CHAIN_PROOF
14	72	UID_OR_TX_CANDIDATE	0xa967708f1128dd5492f8fabc03a1e8836c86309f2615042fdad420808c730996	2	0	REPLAY_CANDIDATE_NOT_CHAIN_PROOF
15	72	UID_OR_TX_CANDIDATE	0xb23c19348fd2eecb53bb7edc90868574983af94fc1fd40b6d5dc19e217ee4c04	2	0	REPLAY_CANDIDATE_NOT_CHAIN_PROOF
16	72	UID_OR_TX_CANDIDATE	0xba8c1226090e77ceb91105cd224d91e9c0706875cbd52dfd31da4461c6048b1e	2	0	REPLAY_CANDIDATE_NOT_CHAIN_PROOF
17	72	UID_OR_TX_CANDIDATE	0xc2e82c428b6dcfbc2b0319553f34ef23936de205a216e8a01cb30a8a769b46de	2	0	REPLAY_CANDIDATE_NOT_CHAIN_PROOF
18	72	UID_OR_TX_CANDIDATE	0xE19284F8A15D00DC37BCBF8299A5B75AA5EA90029CABE52B010B4B143A1AFC44	2	0	REPLAY_CANDIDATE_NOT_CHAIN_PROOF
19	71	UID_OR_TX_CANDIDATE	0x0237c0eb82e167471985a3243e6ce167f75748e81a5b3589966daafeace5c74d	1	0	REPLAY_CANDIDATE_NOT_CHAIN_PROOF
20	71	UID_OR_TX_CANDIDATE	0x265500ec2cf65367783ca7337afc1988d77a3f214ec1e6c05cf5ce1feb9d257f	1	0	REPLAY_CANDIDATE_NOT_CHAIN_PROOF
21	71	UID_OR_TX_CANDIDATE	0x2849b43074093a05396b6f2a937dee8565b15a48a7b3d4bffb732a5017380af5	1	0	REPLAY_CANDIDATE_NOT_CHAIN_PROOF
22	71	UID_OR_TX_CANDIDATE	0x35d79ab81f2b2017e19afb5c5571778877782d7a8786f5907f93b0f4702f4f23	1	0	REPLAY_CANDIDATE_NOT_CHAIN_PROOF
23	71	UID_OR_TX_CANDIDATE	0x36d3ffa7ee0d1d183f385e3205775f448dcefa1981a18bbc12f9f9930af86ac7	1	0	REPLAY_CANDIDATE_NOT_CHAIN_PROOF
24	71	UID_OR_TX_CANDIDATE	0x5f68181e98309b6b77b88de4e25a3b50b4742d62a0426cdb4eeb8374cae8c19c	1	0	REPLAY_CANDIDATE_NOT_CHAIN_PROOF
25	71	UID_OR_TX_CANDIDATE	0x60d7a27800000000000000000000000000000000000000000000000000000000	1	0	REPLAY_CANDIDATE_NOT_CHAIN_PROOF
26	71	UID_OR_TX_CANDIDATE	0x635f6a72f2eee47ec46cad532fba9554c87bf27692483159ce299419c290e586	1	0	REPLAY_CANDIDATE_NOT_CHAIN_PROOF
27	71	UID_OR_TX_CANDIDATE	0x67a6208cfcc0801d50f6cbe764733f4fddf66ac0b04442061a8a8c0cb6b63f62	1	0	REPLAY_CANDIDATE_NOT_CHAIN_PROOF
28	71	UID_OR_TX_CANDIDATE	0x718594027abd4eaed59f95162563e0cc6d0e8d5b86b1c7be8b1b0ac3343d0396	1	0	REPLAY_CANDIDATE_NOT_CHAIN_PROOF
29	71	UID_OR_TX_CANDIDATE	0x7ff126db8024424bbfd9826e8ab82ff59136289ea440b04b39a0df1b03b9cabf	1	0	REPLAY_CANDIDATE_NOT_CHAIN_PROOF
