year,sector,subsector,total_employed_in_thousands
2023,"Agriculture, forestry, fishing, and hunting",,2264
2023,"Agriculture, forestry, fishing, and hunting",Animal production and aquaculture,705
2023,"Agriculture, forestry, fishing, and hunting",Crop production,1222
2023,"Agriculture, forestry, fishing, and hunting","Fishing, hunting, and trapping",40
2023,"Agriculture, forestry, fishing, and hunting","Forestry, except logging",50
2023,"Agriculture, forestry, fishing, and hunting",Logging,72
2023,"Agriculture, forestry, fishing, and hunting",Support activities for agriculture and forestry,174
2023,Construction,,11896
2023,Education and health services,,36378
2023,Education and health services,Educational services,14029
