table_name,column_name,data_type
cpsaat18,year,INT64
cpsaat18,sector,STRING
cpsaat18,subsector,STRING
cpsaat18,industry_group,STRING
cpsaat18,industry,STRING
cpsaat18,total_employed_in_thousands,INT64
cpsaat18,percent_women,FLOAT64
cpsaat18,percent_white,FLOAT64
cpsaat18,percent_black_or_african_american,FLOAT64
cpsaat18,percent_asian,FLOAT64
cpsaat18,percent_hispanic_or_latino,FLOAT64
unemployment_cps,series_id,STRING
unemployment_cps,year,INT64
unemployment_cps,period,STRING
unemployment_cps,value,FLOAT64
unemployment_cps,footnote_codes,STRING
unemployment_cps,date,DATE
unemployment_cps,series_title,STRING
unemployment_cps_series,series_id,STRING
unemployment_cps_series,lfst_code,INT64
unemployment_cps_series,periodicity_code,STRING
unemployment_cps_series,series_title,STRING
unemployment_cps_series,absn_code,INT64
unemployment_cps_series,activity_code,INT64
unemployment_cps_series,ages_code,INT64
unemployment_cps_series,class_code,INT64
unemployment_cps_series,duration_code,INT64
unemployment_cps_series,education_code,INT64
unemployment_cps_series,entr_code,INT64
unemployment_cps_series,expr_code,INT64
unemployment_cps_series,hheader_code,INT64
unemployment_cps_series,hour_code,INT64
unemployment_cps_series,indy_code,INT64
unemployment_cps_series,jdes_code,INT64
unemployment_cps_series,look_code,INT64
unemployment_cps_series,mari_code,INT64
unemployment_cps_series,mjhs_code,INT64
unemployment_cps_series,occupation_code,INT64
unemployment_cps_series,orig_code,INT64
unemployment_cps_series,pcts_code,INT64
unemployment_cps_series,race_code,INT64
unemployment_cps_series,rjnw_code,INT64
unemployment_cps_series,rnlf_code,INT64
unemployment_cps_series,rwns_code,INT64
unemployment_cps_series,seek_code,INT64
unemployment_cps_series,sexs_code,INT64
unemployment_cps_series,tdat_code,INT64
unemployment_cps_series,vets_code,INT64
unemployment_cps_series,wkst_code,INT64
unemployment_cps_series,born_code,INT64
unemployment_cps_series,chld_code,INT64
unemployment_cps_series,disa_code,INT64
unemployment_cps_series,seasonal,STRING
unemployment_cps_series,footnote_codes,STRING
unemployment_cps_series,begin_year,INT64
unemployment_cps_series,begin_period,STRING
unemployment_cps_series,end_year,INT64
unemployment_cps_series,end_period,STRING
unemployment_cps_series,cert_code,INT64
