section,key_name,value_text,row_count
SAMPLE,725016:01:01,01,1
SAMPLE,725016:01:02,01,1
SAMPLE,725016:01:03,01,1
SAMPLE,725016:01:04,01,1
SAMPLE,725016:01:05,01,1
SAMPLE,725016:01:06,01,1
SAMPLE,725016:01:07,01,1
SAMPLE,725016:01:08,01,1
SAMPLE,725016:01:09,01,1
SAMPLE,725016:01:10,01,1
SAMPLE,725016:01:11,01,1
SAMPLE,725016:01:12,01,1
SAMPLE,725016:01:13,01,1
SAMPLE,725016:01:14,01,1
SAMPLE,725016:01:15,01,1
SAMPLE,725016:01:16,01,1
SAMPLE,725016:01:17,01,1
SAMPLE,725016:01:18,01,1
SAMPLE,725016:01:19,01,1
SAMPLE,725016:01:20,01,1
SAMPLE,725016:01:21,01,1
SAMPLE,725016:01:22,01,1
SAMPLE,725016:01:23,01,1
SAMPLE,725016:01:24,01,1
SAMPLE,725016:01:25,01,1
SAMPLE,725016:01:26,01,1
SAMPLE,725016:01:27,01,1
SAMPLE,725016:01:28,01,1
SAMPLE,725016:01:29,01,1
SAMPLE,725016:01:30,01,1
SAMPLE,725016:01:31,01,1
SAMPLE,725016:02:01,02,1
SAMPLE,725016:02:02,02,1
SAMPLE,725016:02:03,02,1
SAMPLE,725016:02:04,02,1
SAMPLE,725016:02:05,02,1
SAMPLE,725016:02:06,02,1
SAMPLE,725016:02:07,02,1
SAMPLE,725016:02:08,02,1
SAMPLE,725016:02:09,02,1
SCHEMA,da,STRING,
SCHEMA,date,DATE,
SCHEMA,mo,STRING,
SCHEMA,mxpsd,STRING,
SCHEMA,prcp,FLOAT64,
SCHEMA,stn,STRING,
SCHEMA,temp,FLOAT64,
SCHEMA,year,STRING,
