table_name,column_name,data_type
irs_990_2012,ein,STRING
irs_990_2012,tax_pd,STRING
irs_990_2012,subseccd,STRING
irs_990_2012,unrelbusinccd,STRING
irs_990_2012,initiationfees,INT64
irs_990_2012,grsrcptspublicuse,INT64
irs_990_2012,grsincmembers,INT64
irs_990_2012,grsincother,INT64
irs_990_2012,totcntrbgfts,INT64
irs_990_2012,totprgmrevnue,INT64
irs_990_2012,invstmntinc,INT64
irs_990_2012,txexmptbndsproceeds,INT64
irs_990_2012,royaltsinc,INT64
irs_990_2012,grsrntsreal,INT64
irs_990_2012,grsrntsprsnl,INT64
irs_990_2012,rntlexpnsreal,INT64
irs_990_2012,rntlexpnsprsnl,INT64
irs_990_2012,rntlincreal,INT64
irs_990_2012,rntlincprsnl,INT64
irs_990_2012,netrntlinc,INT64
irs_990_2012,grsalesecur,INT64
irs_990_2012,grsalesothr,INT64
irs_990_2012,cstbasisecur,INT64
irs_990_2012,cstbasisothr,INT64
irs_990_2012,gnlsecur,INT64
irs_990_2012,gnlsothr,INT64
irs_990_2012,netgnls,INT64
irs_990_2012,grsincfndrsng,INT64
irs_990_2012,lessdirfndrsng,INT64
irs_990_2012,netincfndrsng,INT64
irs_990_2012,grsincgaming,INT64
irs_990_2012,lessdirgaming,INT64
irs_990_2012,netincgaming,INT64
irs_990_2012,grsalesinvent,INT64
irs_990_2012,lesscstofgoods,INT64
irs_990_2012,netincsales,INT64
irs_990_2012,miscrevtot11e,INT64
irs_990_2012,totrevenue,INT64
irs_990_2012,compnsatncurrofcr,INT64
irs_990_2012,othrsalwages,INT64
irs_990_2012,payrolltx,INT64
irs_990_2012,profndraising,INT64
irs_990_2012,totfuncexpns,INT64
irs_990_2012,totassetsend,INT64
irs_990_2012,txexmptbndsend,INT64
irs_990_2012,secrdmrtgsend,INT64
irs_990_2012,unsecurednotesend,INT64
irs_990_2012,totliabend,INT64
irs_990_2012,retainedearnend,INT64
irs_990_2012,totnetassetend,INT64
irs_990_2012,nonpfrea,STRING
irs_990_2012,gftgrntsrcvd170,INT64
irs_990_2012,txrevnuelevied170,INT64
irs_990_2012,srvcsval170,INT64
irs_990_2012,grsinc170,INT64
irs_990_2012,grsrcptsrelated170,INT64
irs_990_2012,totgftgrntrcvd509,INT64
irs_990_2012,grsrcptsadmissn509,INT64
irs_990_2012,txrevnuelevied509,INT64
irs_990_2012,srvcsval509,INT64
irs_990_2012,subtotsuppinc509,INT64
irs_990_2012,totsupp509,INT64
irs_990_2013,ein,STRING
irs_990_2013,tax_pd,INT64
irs_990_2013,subseccd,INT64
irs_990_2013,s501c3or4947a1cd,STRING
irs_990_2013,schdbind,STRING
irs_990_2013,politicalactvtscd,STRING
irs_990_2013,lbbyingactvtscd,STRING
irs_990_2013,subjto6033cd,STRING
irs_990_2013,dnradvisedfundscd,STRING
irs_990_2013,prptyintrcvdcd,STRING
irs_990_2013,maintwrkofartcd,STRING
irs_990_2013,crcounselingqstncd,STRING
irs_990_2013,hldassetsintermpermcd,STRING
irs_990_2013,rptlndbldgeqptcd,STRING
irs_990_2013,rptinvstothsecd,STRING
irs_990_2013,rptinvstprgrelcd,STRING
irs_990_2013,rptothasstcd,STRING
irs_990_2013,rptothliabcd,STRING
irs_990_2013,sepcnsldtfinstmtcd,STRING
irs_990_2013,sepindaudfinstmtcd,STRING
irs_990_2013,inclinfinstmtcd,STRING
irs_990_2013,operateschools170cd,STRING
irs_990_2013,frgnofficecd,STRING
irs_990_2013,frgnrevexpnscd,STRING
irs_990_2013,frgngrntscd,STRING
irs_990_2013,frgnaggragrntscd,STRING
irs_990_2013,rptprofndrsngfeescd,STRING
irs_990_2013,rptincfnndrsngcd,STRING
irs_990_2013,rptincgamingcd,STRING
irs_990_2013,operatehosptlcd,STRING
irs_990_2013,hospaudfinstmtcd,STRING
irs_990_2013,rptgrntstogovtcd,STRING
irs_990_2013,rptgrntstoindvcd,STRING
irs_990_2013,rptyestocompnstncd,STRING
irs_990_2013,txexmptbndcd,STRING
irs_990_2013,invstproceedscd,STRING
irs_990_2013,maintescrwaccntcd,STRING
irs_990_2013,actonbehalfcd,STRING
irs_990_2013,engageexcessbnftcd,STRING
irs_990_2013,awarexcessbnftcd,STRING
irs_990_2013,loantofficercd,STRING
irs_990_2013,grantoofficercd,STRING
irs_990_2013,dirbusnreltdcd,STRING
irs_990_2013,fmlybusnreltdcd,STRING
irs_990_2013,servasofficercd,STRING
irs_990_2013,recvnoncashcd,STRING
irs_990_2013,recvartcd,STRING
irs_990_2013,ceaseoperationscd,STRING
irs_990_2013,sellorexchcd,STRING
irs_990_2013,ownsepentcd,STRING
irs_990_2013,reltdorgcd,STRING
irs_990_2013,intincntrlcd,STRING
irs_990_2013,orgtrnsfrcd,STRING
irs_990_2013,conduct5percentcd,STRING
irs_990_2013,compltschocd,STRING
irs_990_2013,f1096cnt,INT64
irs_990_2013,fw2gcnt,INT64
irs_990_2013,wthldngrulescd,STRING
irs_990_2013,noemplyeesw3cnt,INT64
irs_990_2013,filerqrdrtnscd,STRING
irs_990_2013,unrelbusinccd,STRING
irs_990_2013,filedf990tcd,STRING
irs_990_2013,frgnacctcd,STRING
irs_990_2013,prohibtdtxshltrcd,STRING
irs_990_2013,prtynotifyorgcd,STRING
irs_990_2013,filedf8886tcd,STRING
irs_990_2013,solicitcntrbcd,STRING
irs_990_2013,exprstmntcd,STRING
irs_990_2013,providegoodscd,STRING
irs_990_2013,notfydnrvalcd,STRING
irs_990_2013,filedf8282cd,STRING
irs_990_2013,f8282cnt,INT64
irs_990_2013,fndsrcvdcd,STRING
irs_990_2013,premiumspaidcd,STRING
irs_990_2013,filedf8899cd,STRING
irs_990_2013,filedf1098ccd,STRING
irs_990_2013,excbushldngscd,STRING
irs_990_2013,s4966distribcd,STRING
irs_990_2013,distribtodonorcd,STRING
irs_990_2013,initiationfees,INT64
irs_990_2013,grsrcptspublicuse,INT64
irs_990_2013,grsincmembers,INT64
irs_990_2013,grsincother,INT64
irs_990_2013,filedlieuf1041cd,STRING
irs_990_2013,txexmptint,INT64
irs_990_2013,qualhlthplncd,STRING
irs_990_2013,qualhlthreqmntn,INT64
irs_990_2013,qualhlthonhnd,INT64
irs_990_2013,rcvdpdtngcd,STRING
irs_990_2013,filedf720cd,STRING
irs_990_2013,totreprtabled,INT64
irs_990_2013,totcomprelatede,INT64
irs_990_2013,totestcompf,INT64
irs_990_2013,noindiv100kcnt,INT64
irs_990_2013,nocontractor100kcnt,INT64
irs_990_2013,totcntrbgfts,INT64
irs_990_2013,prgmservcode2acd,INT64
irs_990_2013,totrev2acola,INT64
irs_990_2013,prgmservcode2bcd,INT64
irs_990_2013,totrev2bcola,INT64
irs_990_2013,prgmservcode2ccd,INT64
irs_990_2013,totrev2ccola,INT64
irs_990_2013,prgmservcode2dcd,INT64
irs_990_2013,totrev2dcola,INT64
irs_990_2013,prgmservcode2ecd,INT64
irs_990_2013,totrev2ecola,INT64
irs_990_2013,totrev2fcola,INT64
irs_990_2013,totprgmrevnue,INT64
irs_990_2013,invstmntinc,INT64
irs_990_2013,txexmptbndsproceeds,INT64
irs_990_2013,royaltsinc,INT64
irs_990_2013,grsrntsreal,INT64
irs_990_2013,grsrntsprsnl,INT64
irs_990_2013,rntlexpnsreal,INT64
irs_990_2013,rntlexpnsprsnl,INT64
irs_990_2013,rntlincreal,INT64
irs_990_2013,rntlincprsnl,INT64
irs_990_2013,netrntlinc,INT64
irs_990_2013,grsalesecur,INT64
irs_990_2013,grsalesothr,INT64
irs_990_2013,cstbasisecur,INT64
irs_990_2013,cstbasisothr,INT64
irs_990_2013,gnlsecur,INT64
irs_990_2013,gnlsothr,INT64
irs_990_2013,netgnls,INT64
irs_990_2013,grsincfndrsng,INT64
irs_990_2013,lessdirfndrsng,INT64
irs_990_2013,netincfndrsng,INT64
irs_990_2013,grsincgaming,INT64
irs_990_2013,lessdirgaming,INT64
irs_990_2013,netincgaming,INT64
irs_990_2013,grsalesinvent,INT64
irs_990_2013,lesscstofgoods,INT64
irs_990_2013,netincsales,INT64
irs_990_2013,miscrev11acd,INT64
irs_990_2013,miscrevtota,INT64
irs_990_2013,miscrev11bcd,INT64
irs_990_2013,miscrevtot11b,INT64
