usaf,wban,name,state,lat,lon,elev
726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,+0506.9
726228,99999,ADIRONDACK RGNL,NY,44.383,-74.2,+0507.0
725184,99999,ALBANY (NEXRAD)              ,NY,44.517,-73.167,+0131.0
999999,14735,ALBANY COUNTY AP,NY,42.743,-73.809,+0089.0
725180,14735,ALBANY INTERNATIONAL AIRPORT,NY,42.747,-73.799,+0085.3
998223,99999,ALEXANDRIA BAY,NY,44.333,-75.933,+0000.0
724098,99999,AMBROSE / FT. TILDEN,NY,40.45,-73.82,+0001.0
994100,99999,AMBROSE LIGHT  NY,NY,40.46,-73.83,+0000.0
998436,99999,BARCELONA HARBOR,NY,42.346,-79.596,+0174.0
725028,99999,BAY SHORE / FIRE ISLAND,NY,40.63,-73.27,+0005.0
999999,14797,BEAR MOUNTAIN WB,NY,41.317,-74.0,+0396.8
997272,99999,BERGEN POINT,NY,40.639,-74.146,+0010.0
999999,04725,BINGHAMTON BROOME COUNTY ARPT,NY,42.207,-75.98,+0499.3
999999,14738,BINGHAMTON TRI-CITIES ARPT,NY,42.083,-76.1,+0253.9
725016,99999,BROOKHAVEN,NY,40.817,-72.867,+0025.0
725016,54790,BROOKHAVEN AIRPORT,NY,40.822,-72.869,+0025.0
999999,14733,BUFFALO BUFFALO ARPT,NY,42.941,-78.736,+0214.9
725285,99999,BUFFALO COAST GUARD STATION,NY,42.88,-78.88,+0180.0
725280,14733,BUFFALO NIAGARA INTERNATIONAL,NY,42.94,-78.736,+0218.2
725034,99999,CALVERTON/GRUMMAN,NY,40.917,-72.783,+0023.0
