usaf,wban,name,state,lat,lon,elev,county_name,county_fips
726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,506.9,Franklin County,
726228,99999,ADIRONDACK RGNL,NY,44.383,-74.2,507.0,Franklin County,
725184,99999,ALBANY (NEXRAD)              ,NY,44.517,-73.167,131.0,Chittenden County,
999999,14735,ALBANY COUNTY AP,NY,42.743,-73.809,89.0,Albany County,
725180,14735,ALBANY INTERNATIONAL AIRPORT,NY,42.747,-73.799,85.3,Albany County,
998223,99999,ALEXANDRIA BAY,NY,44.333,-75.933,0.0,Jefferson County,
724098,99999,AMBROSE / FT. TILDEN,NY,40.45,-73.82,1.0,,
994100,99999,AMBROSE LIGHT  NY,NY,40.46,-73.83,0.0,,
998436,99999,BARCELONA HARBOR,NY,42.346,-79.596,174.0,Chautauqua County,
725028,99999,BAY SHORE / FIRE ISLAND,NY,40.63,-73.27,5.0,Suffolk County,
999999,14797,BEAR MOUNTAIN WB,NY,41.317,-74.0,396.8,Orange County,
997272,99999,BERGEN POINT,NY,40.639,-74.146,10.0,,
999999,4725,BINGHAMTON BROOME COUNTY ARPT,NY,42.207,-75.98,499.3,Broome County,
999999,14738,BINGHAMTON TRI-CITIES ARPT,NY,42.083,-76.1,253.9,Broome County,
725016,99999,BROOKHAVEN,NY,40.817,-72.867,25.0,Suffolk County,
725016,54790,BROOKHAVEN AIRPORT,NY,40.822,-72.869,25.0,Suffolk County,
999999,14733,BUFFALO BUFFALO ARPT,NY,42.941,-78.736,214.9,Erie County,
725285,99999,BUFFALO COAST GUARD STATION,NY,42.88,-78.88,180.0,Erie County,
725280,14733,BUFFALO NIAGARA INTERNATIONAL,NY,42.94,-78.736,218.2,Erie County,
725034,99999,CALVERTON/GRUMMAN,NY,40.917,-72.783,23.0,Suffolk County,
