county_name_x,fips,county_fips,heat_days_90f,heat_stress_days_85f,heavy_rain_days_1in,extreme_wind_days_50,mean_temp_f,total_precip_in,station_records,station_count,extreme_score,county_name_y
Albany,36001,36001,0,0,3,0,69.96,19.3,153,1,9.38,Albany
Allegany,36003,36003,0,0,0,0,,,0,0,0.0,Allegany
Bronx,36005,36005,0,0,0,0,,,0,0,0.0,Bronx
Broome,36007,36007,0,0,0,0,,,0,0,0.0,Broome
Cattaraugus,36009,36009,0,0,0,0,,,0,0,0.0,Cattaraugus
Cayuga,36011,36011,0,0,0,0,,,0,0,0.0,Cayuga
Chautauqua,36013,36013,0,0,0,0,,,0,0,0.0,Chautauqua
Chemung,36015,36015,0,0,0,0,,,0,0,0.0,Chemung
Chenango,36017,36017,0,0,0,0,,,0,0,0.0,Chenango
Clinton,36019,36019,0,0,0,0,,,0,0,0.0,Clinton
Columbia,36021,36021,0,0,0,0,,,0,0,0.0,Columbia
Cortland,36023,36023,0,0,0,0,,,0,0,0.0,Cortland
Delaware,36025,36025,0,0,0,0,,,0,0,0.0,Delaware
Dutchess,36027,36027,0,0,0,0,,,0,0,0.0,Dutchess
Erie,36029,36029,0,0,3,0,69.25,16.01,153,1,9.38,Erie
Essex,36031,36031,0,0,0,0,,,0,0,0.0,Essex
Franklin,36033,36033,0,0,8,0,61.12,47.0,306,1,25.0,Franklin
Fulton,36035,36035,0,0,0,0,,,0,0,0.0,Fulton
Genesee,36037,36037,0,0,0,0,,,0,0,0.0,Genesee
Greene,36039,36039,0,0,0,0,,,0,0,0.0,Greene
Hamilton,36041,36041,0,0,0,0,,,0,0,0.0,Hamilton
Herkimer,36043,36043,0,0,0,0,,,0,0,0.0,Herkimer
Jefferson,36045,36045,0,0,0,0,,,0,0,0.0,Jefferson
Kings,36047,36047,0,0,0,0,,,0,0,0.0,Kings
Lewis,36049,36049,0,0,0,0,,,0,0,0.0,Lewis
Livingston,36051,36051,0,0,0,0,,,0,0,0.0,Livingston
Madison,36053,36053,0,0,0,0,,,0,0,0.0,Madison
Monroe,36055,36055,0,0,0,0,,,0,0,0.0,Monroe
Montgomery,36057,36057,0,0,0,0,,,0,0,0.0,Montgomery
Nassau,36059,36059,0,0,0,0,,,0,0,0.0,Nassau
New York,36061,36061,0,0,0,0,,,0,0,0.0,New York
Niagara,36063,36063,0,0,0,0,,,0,0,0.0,Niagara
Oneida,36065,36065,0,0,0,0,,,0,0,0.0,Oneida
Onondaga,36067,36067,0,0,0,0,,,0,0,0.0,Onondaga
Ontario,36069,36069,0,0,0,0,,,0,0,0.0,Ontario
Orange,36071,36071,0,0,0,0,,,0,0,0.0,Orange
Orleans,36073,36073,0,0,0,0,,,0,0,0.0,Orleans
Oswego,36075,36075,0,0,0,0,,,0,0,0.0,Oswego
Otsego,36077,36077,0,0,0,0,,,0,0,0.0,Otsego
Putnam,36079,36079,0,0,0,0,,,0,0,0.0,Putnam
Queens,36081,36081,0,0,0,0,,,0,0,0.0,Queens
Rensselaer,36083,36083,0,0,0,0,,,0,0,0.0,Rensselaer
Richmond,36085,36085,0,0,0,0,,,0,0,0.0,Richmond
Rockland,36087,36087,0,0,0,0,,,0,0,0.0,Rockland
Saratoga,36091,36091,0,0,0,0,,,0,0,0.0,Saratoga
Schenectady,36093,36093,0,0,0,0,,,0,0,0.0,Schenectady
Schoharie,36095,36095,0,0,0,0,,,0,0,0.0,Schoharie
Schuyler,36097,36097,0,0,0,0,,,0,0,0.0,Schuyler
Seneca,36099,36099,0,0,0,0,,,0,0,0.0,Seneca
St. Lawrence,36089,36089,0,0,0,0,,,0,0,0.0,St. Lawrence
Steuben,36101,36101,0,0,0,0,,,0,0,0.0,Steuben
Suffolk,36103,36103,0,0,6,0,69.51,34.54,306,1,18.75,Suffolk
Sullivan,36105,36105,0,0,0,0,,,0,0,0.0,Sullivan
Tioga,36107,36107,0,0,0,0,,,0,0,0.0,Tioga
Tompkins,36109,36109,0,0,0,0,,,0,0,0.0,Tompkins
Ulster,36111,36111,0,0,0,0,,,0,0,0.0,Ulster
Warren,36113,36113,0,0,0,0,,,0,0,0.0,Warren
Washington,36115,36115,0,0,0,0,,,0,0,0.0,Washington
Wayne,36117,36117,0,0,0,0,,,0,0,0.0,Wayne
Westchester,36119,36119,0,0,0,0,,,0,0,0.0,Westchester
Wyoming,36121,36121,0,0,0,0,,,0,0,0.0,Wyoming
Yates,36123,36123,0,0,0,0,,,0,0,0.0,Yates
