county_name,fips,geo_id,median_income,total_pop,county_fips,avg_annual_temp_f,avg_annual_precip_in,stations_in_county
Albany,36001,36001,75232.0,313743.0,36001,53.57,3068.72,2
Allegany,36003,,,,,,,0
Bronx,36005,36005,43011.0,1424948.0,,,,0
Broome,36007,36007,55591.0,197240.0,36007,54.32,6093.95,2
Cattaraugus,36009,36009,55153.0,76426.0,,,,0
Cayuga,36011,36011,63511.0,75880.0,,,,0
Chautauqua,36013,36013,46661.0,126807.0,,,,0
Chemung,36015,36015,60219.0,83045.0,,,,0
Chenango,36017,,,,,,,0
Clinton,36019,36019,60285.0,79596.0,,,,0
Columbia,36021,,,,,,,0
Cortland,36023,,,,,,,0
Delaware,36025,,,,,,,0
Dutchess,36027,36027,88051.0,297112.0,,,,0
Erie,36029,36029,63035.0,950683.0,36029,53.58,3065.5,2
Essex,36031,,,,,,,0
Franklin,36033,,,,36033,44.03,39.24,2
Fulton,36035,,,,,,,0
Genesee,36037,,,,,,,0
Greene,36039,,,,,,,0
Hamilton,36041,,,,,,,0
Herkimer,36043,,,,,,,0
Jefferson,36045,36045,60398.0,116295.0,,,,0
Kings,36047,36047,67567.0,2641052.0,,,,0
Lewis,36049,,,,,,,0
Livingston,36051,,,,,,,0
Madison,36053,36053,67495.0,67658.0,,,,0
Monroe,36055,36055,65957.0,755160.0,,,,0
Montgomery,36057,,,,,,,0
Nassau,36059,36059,125696.0,1390907.0,,,,0
New York,36061,36061,84435.0,1576876.0,,,,0
Niagara,36063,36063,61340.0,211653.0,,,,0
Oneida,36065,36065,60215.0,230274.0,,,,0
Onondaga,36067,36067,65541.0,473236.0,,,,0
Ontario,36069,36069,77972.0,112508.0,,,,0
Orange,36071,36071,90405.0,404525.0,36071,54.32,6093.95,1
Orleans,36073,,,,,,,0
Oswego,36075,36075,59423.0,117387.0,,,,0
Otsego,36077,,,,,,,0
Putnam,36079,36079,106871.0,97936.0,,,,0
Queens,36081,36081,73262.0,2331143.0,,,,0
Rensselaer,36083,36083,75676.0,160232.0,,,,0
Richmond,36085,36085,86054.0,493494.0,,,,0
Rockland,36087,36087,99087.0,339227.0,,,,0
Saratoga,36091,36091,86804.0,237359.0,,,,0
Schenectady,36093,36093,75284.0,158089.0,,,,0
Schoharie,36095,,,,,,,0
Schuyler,36097,,,,,,,0
Seneca,36099,,,,,,,0
St. Lawrence,36089,36089,55775.0,108051.0,,,,0
Steuben,36101,36101,57378.0,92948.0,,,,0
Suffolk,36103,36103,113683.0,1526344.0,36103,55.04,51.24,2
Sullivan,36105,36105,54276.0,79806.0,,,,0
Tioga,36107,,,,,,,0
Tompkins,36109,36109,66441.0,105162.0,,,,0
Ulster,36111,36111,78938.0,182951.0,,,,0
Warren,36113,36113,73028.0,65618.0,,,,0
Washington,36115,,,,,,,0
Wayne,36117,36117,64993.0,90923.0,,,,0
Westchester,36119,36119,110705.0,997895.0,,,,0
Wyoming,36121,,,,,,,0
Yates,36123,,,,,,,0
