27	Health & Human Services	11	Health & Human Services                                11
28	Public Safety & Judiciary	14	Public Safety & Judiciary                              14
29	Transportation	16	Transportation                                         16
30	Environment and Energy	17	Environment and Energy                                 17
65	E-12 Education	25,869,108	E-12 Education                                         25,869,108
66	Higher Education	4,015,828	Higher Education                                       4,015,828
68	Health & Human Services	25,808,265	Health & Human Services                                25,808,265
69	Public Safety & Judiciary	3,640,627	Public Safety & Judiciary                              3,640,627
70	Transportation	917,728	Transportation                                         917,728
71	Environment and Energy	711,149	Environment and Energy                                 711,149
488	E-12 Education	25,869,108	E-12 Education                                         25,869,108
517	Higher Education	4,015,828	Higher Education                                       4,015,828
824	Health & Human Services	25,808,265	Health & Human Services                                25,808,265
950	Public Safety & Judiciary	3,640,627	Public Safety & Judiciary                              3,640,627
999	Transportation	917,728	Transportation                                         917,728
1073	Environment and Energy	711,149	Environment and Energy                                 711,149
